sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
77,7.56191200000012,"2026-04-01T01:48:57.0857320Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02034656,1.13675,-0.6851576,0.2217069,0.003417207,0.01872513,0.9749275,0,,,,,,
78,7.57347209999989,"2026-04-01T01:48:57.0976238Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02034849,1.137022,-0.6853923,0.2210888,0.002905557,0.01893459,0.9750655,0,,,,,,
79,7.58517539999957,"2026-04-01T01:48:57.1067883Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02036361,1.137302,-0.6855711,0.2202723,0.002479341,0.01906978,0.9752489,0,,,,,,
80,7.59424740000031,"2026-04-01T01:48:57.1196270Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02039921,1.137706,-0.6859056,0.2188099,0.001551412,0.01931314,0.9755751,0,,,,,,
81,7.60718160000033,"2026-04-01T01:48:57.1283496Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0204963,1.13803,-0.6861033,0.2174732,0.0008083005,0.01961095,0.9758689,0,,,,,,
82,7.61716109999998,"2026-04-01T01:48:57.1425437Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02056184,1.138589,-0.6864215,0.2156301,-0.0002614225,0.01982552,0.9762738,0,,,,,,
83,7.63010060000033,"2026-04-01T01:48:57.1511628Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02067229,1.138973,-0.6866049,0.2142174,-0.0009242203,0.01985187,0.9765838,0,,,,,,
84,7.63964250000026,"2026-04-01T01:48:57.1627808Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02081108,1.139457,-0.6868972,0.2124711,-0.001844434,0.01988685,0.9769632,0,,,,,,
85,7.65029779999986,"2026-04-01T01:48:57.1734265Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02094508,1.139944,-0.6872151,0.2107004,-0.002813756,0.01999084,0.9773422,0,,,,,,
86,7.66184280000016,"2026-04-01T01:48:57.1852059Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02106467,1.140437,-0.6875293,0.208902,-0.003556744,0.0201506,0.9777225,0,,,,,,
87,7.67289110000002,"2026-04-01T01:48:57.1964567Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02119467,1.140991,-0.6878854,0.2067228,-0.004460581,0.02036573,0.9781774,0,,,,,,
88,7.6840030000003,"2026-04-01T01:48:57.2080579Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02131332,1.141538,-0.6882294,0.2046852,-0.005295697,0.02064649,0.9785958,0,,,,,,
